player_id,player_name,birth_date,position,price,is_visionary,my_team
2lqRklgAQr,Emily Menges,1992-07-28,Defender,6.5,,
KAqBkKgvQb,Emily Sams,1999-07-01,Defender,8.5,,
gOMn6X8BMw,Emily Sonnett,1993-11-25,Defender,7,,
KPqjBzzRq6,Emma Sears,2001-02-23,Forward,6.5,,
odMXGzY0QY,Emmie Allen,2002-10-25,Goalkeeper,4,TRUE,
kRQao2bk5K,Esther González,1992-12-08,Forward,11,,
eV5DLm3J5K,Felicitas Rauch,1996-04-30,Defender,6,,
Xj5Y4OWRMb,Gabi Portilho,1995-07-18,Forward,5.5,TRUE,
7VqGj84Y5v,Gia Corley,2002-05-20,Midfielder,5.5,,
N6Mmo8BPqE,Gift Monday,2001-12-09,Forward,6.5,,
KPqjKvrYQ6,Gisele Thompson,2005-12-02,Defender,4,,
Xj5Y60lRqb,Hailie Mace,1997-03-24,Midfielder,5.5,,
2vQ14Xolqr,Haley McCutcheon,1996-02-22,Defender,7.5,,TRUE
KAqBNlkJqb,Hanna Lundkvist,2002-07-17,Defender,4,,
BLMv78mR5x,Hina Sugita,1997-01-31,Midfielder,8,,
BLMv7Klj5x,Isabel Rodriguez,1999-04-13,Defender,5.5,,
2vQ143Ylqr,Jaedyn Shaw,2004-11-20,Forward,6,,
gOMnREd8Mw,Jaelin Howell,1999-11-21,Midfielder,5,,
NPqxorYY59,Jameese Joseph,2002-05-03,Midfielder,7.5,,
NWMWVEkZQl,Jane Campbell,1995-02-17,Goalkeeper,4,,
0Oq6wZexQ6,Janine Sonis,1994-08-20,Forward,7,TRUE,
gjMNPRApqK,Jayden Perry,2001-02-20,Defender,4.5,,
0x5g26b7M7,Jess Carter,1997-10-27,Defender,4,,
2lqRRjmaqr,Jess Fishlock,1987-01-14,Midfielder,5,,TRUE
7VqGjYPj5v,Jessie Fleming,1998-03-11,Midfielder,5.5,,
9z5k730a5A,Ji So-Yun,1991-02-21,Midfielder,6.5,,
0Oq6LeZxM6,Joelle Anderson,1998-10-06,Midfielder,7,,
vzqoOLGYqa,Jordan Silkowitz,2000-03-27,Goalkeeper,4,,TRUE
NWMWo0RzMl,Jordyn Bloomer,1997-10-14,Goalkeeper,4,,TRUE
7VqGLVgAQv,Jordyn Bugg,2006-08-11,Defender,4,,
2lqRk1eAQr,Jordyn Huitema,2001-05-08,Forward,4.5,TRUE,TRUE
7VqGjXpX5v,Kailen Sheridan,1995-07-16,Goalkeeper,4.5,,
0Oq6w2WgQ6,Katie Lind,1994-02-15,Defender,4,TRUE,
N6MmodJvqE,Katie Lund,1996-11-27,Goalkeeper,4,,
odMXGw2oQY,Kayla Fischer,2000-01-05,Midfielder,5,,TRUE
XVqKezYwM0,Kayla Sharples,1997-06-17,Defender,7,,
NPqxxmlGq9,Kelli Hubly,1994-08-09,Defender,4.5,,
ljqEJe3YQx,Kennedy Fuller,2007-03-09,Midfielder,4.5,,
OlMl9Ek45L,Kennedy Wesley,2001-03-08,Defender,4.5,TRUE,TRUE
jYQJzzGkQG,Kenza Dali,1991-07-31,Midfielder,5,,
xW5prm0dQg,Kerry Abello,1999-09-17,Defender,8,,
0Oq6wbb2Q6,Kristen McNabb,1994-04-17,Defender,4.5,,
gOMnRnYmMw,Kylie Nadaner,1992-03-18,Defender,8,,
xW5prYLGQg,Lauren Barnes,1989-05-31,Defender,4.5,,
KPqjKzG2Q6,Lauren Milliet,1996-12-01,Midfielder,5,TRUE,
XVqKWPkOq0,Leicy Santos,1996-05-16,Midfielder,8.5,,
0Oq63DazQ6,Lilly Reale,2003-08-12,Defender,4,,TRUE
2lqRkZOxQr,Lo'eau LaBonta,1993-03-18,Midfielder,8.5,,
gpMOajmEqz,Lorena Silva,1997-05-06,Goalkeeper,4.5,,
2lqRjRg2qr,Ludmila,1994-12-01,Forward,7.5,,
OlMl9V9D5L,Lynn Biyendolo,1993-05-21,Forward,8.5,,
2lqRkkNDQr,Mackenzie Arnold,1994-02-25,Goalkeeper,4,,
kRQawVk85K,Madeline Dahlien,2004-07-25,Forward,4.5,,
4JMAoyV2qK,Madison Curry,2001-01-23,Defender,4.5,,
KAqBN78Xqb,Maggie Graham,2002-07-10,Midfielder,4.5,,
2vQ14jmLqr,Makenna Morris,2002-04-26,Forward,9.5,,
0x5gW3J757,Manaka Matsukubo,2004-07-28,Midfielder,6.5,,TRUE
gOMn2eV6Mw,Mandy Freeman,1995-03-23,Defender,4.5,TRUE,TRUE
9vQ2ZedoQK,Mandy McGlynn,1998-11-03,Goalkeeper,4,,
4JMAak3kMK,Marta,1986-02-19,Forward,10.5,,
NPqxA2zjQ9,Mary Vignola,1998-02-11,Defender,4.5,,
0Oq6waZ2Q6,Maycee Bell,2000-09-18,Defender,4,TRUE,
odMX7LnxQY,Michelle Cooper,2002-12-04,Forward,9,,
NPqxexKjQ9,Mina Tanaka,1994-04-28,Forward,4.5,,
315VeoRVM9,Morgan Gautrat,1993-02-26,Midfielder,5,,
kRQaoe9O5K,Natalia Staude,2001-04-30,Defender,4,TRUE,
gOMnlOgAqw,Oihane Hernández,2000-05-04,Defender,5,,
4JMAoba7qK,Olivia Moultrie,2005-09-17,Midfielder,8.5,,TRUE
0Oq6wGnrQ6,Paige Nielsen,1993-10-14,Defender,5,,
xW5prJ0JQg,Perle Morroni,1997-10-15,Defender,4,,
0x5gLOxwq7,Phoebe McClernon,1997-12-13,Defneder,4.5,,
0x5gLNAPq7,Racheal Kundananji,2000-06-03,Forward,10.5,,
KPqjKWP4Q6,Reilyn Turner,2002-10-18,Forward,8,,
eV5DzeXAQK,Riley Jackson,2005-12-02,Midfielder,4.5,,
eVq3e2onMW,Riley Tiernan,,Forward,4.5,,
vzqoJ2EJ5a,Rosemonde Kouassi,2001-12-26,Forward,6.5,,
gOMnY42OQw,Ryan Gareis,1998-11-13,Forward,5,,
NWMWly9D5l,Ryan Williams,1996-02-23,Defender,5,,
BLMvzVyXMx,Sam Coffey,1998-12-31,Midfielder,8,,
eV5DzkDJQK,Samantha Meza,2001-11-07,Midfielder,4.5,,
OlMl9aZ05L,Sandy MacIver,1998-06-18,Goalkeeper,4,,
2vQ1eNl0Qr,Sarah Schupansky,2003-08-25,Forward,4.5,,
KPqjKkoPQ6,Savannah DeMelo,1998-03-26,Midfielder,8.5,,
KAqBNz4mqb,Savannah McCaskill,1996-07-31,Midfielder,5,,
wvq9gZ8YMW,Shae Holmes,2000-03-08,Defender,4.5,TRUE,
p6qboPe4Q0,Tara McKeown,1999-07-02,Defender,7.5,,
2lqRk0vaQr,Taylor Flint,1998-11-22,Midfielder,6.5,,
2lqRlkRnMr,Taylor Huff,2002-08-16,Midfielder,4.5,,
gjMN7GgY5K,Temwa Chawinga,1998-09-20,Forward,12,,TRUE
Xj5Y6PPaqb,Tierna Davidson,1998-09-19,Defender,5.5,,
vzqoOk8kqa,Trinity Armstrong,2007-07-25,Defender,4,,
eVq3jbPg5W,Tyler Lussi,1995-01-26,Forward,7.5,TRUE,
gOMnR6AAMw,Vanessa DiBernardo,1992-05-15,Midfielder,9,,
p6qboZk4Q0,Yazmeen Ryan,1999-02-25,Forward,8,,
